experiment,evaluation_type,metric,step,episodes,seed,value,source
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,14200,,1,0.01489500,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,14300,,1,0.01524411,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,14400,,1,0.01364926,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,14500,,1,0.01424041,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,14600,,1,0.01427168,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,14700,,1,0.01418075,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,14800,,1,0.01396928,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,14900,,1,0.01385732,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,15000,,1,0.01467004,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,15100,,1,0.01397703,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,15200,,1,0.01385986,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,15300,,1,0.01349237,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,15400,,1,0.01364523,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,15500,,1,0.01431033,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,15600,,1,0.01520668,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,15700,,1,0.01447177,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,15800,,1,0.01403712,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,15900,,1,0.01328289,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,16000,,1,0.01343031,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,16100,,1,0.01374632,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,16200,,1,0.01376759,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,16300,,1,0.01311622,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,16400,,1,0.01418246,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
